Name;WMC;DIT;NOCC;CBO;RFC;LCOM;WMC*;NOM;MPC;DAC;SIZE1;SIZE2;DSC;NOH;ANA;DAM;DCC;CAMC;MOA;MFA;NOP;CIS;NOM;Reusability;Flexibility;Understandability;Functionality;Extendibility;Effectiveness;FanIn
teammates.storage.entity.FeedbackResponseComment;33.0;2;0;5.0;66.0;504.0;1.0303030014038086;33.0;0;0;120;50;1.0;0;1.0;1.0;2.0;0.08080808080808081;1.0;0.25;0.0;33.0;33.0;17.02020202020202;0.75;-11.193333333333333;7.489696969696969;0.625;0.6500000000000001;3
teammates.storage.search.SearchManager;11.0;1;2;4.0;0.0;0.0;0.0;11.0;0;0;0;0;1.0;1;0.0;1.0;0.0;0.0;0.0;0.0;4.0;3.0;11.0;2.0;2.25;-4.95;1.98;2.0;1.0;4
teammates.storage.search.SearchManagerFactory;4.0;1;0;5.0;8.0;2.0;1.5;4.0;0;2;20;6;1.0;0;0.0;1.0;2.0;0.25;2.0;0.0;0.0;4.0;4.0;2.5625;1.25;-1.2375;1.1300000000000001;0.0;0.6000000000000001;3
teammates.storage.search.InstructorSearchManager;5.0;2;0;7.0;13.0;10.0;1.0;5.0;3;2;30;7;1.0;0;1.0;1.0;5.0;0.2;2.0;0.8076923;0.0;1.0;5.0;1.05;1.25;-1.9140000000000001;0.46399999999999997;0.9038461446762085;0.9615384578704834;2
teammates.storage.search.StudentSearchDocument;1.0;2;0;4.0;11.0;0.0;1.0;1.0;14;1;18;2;1.0;0;1.0;1.0;3.0;-1000;1.0;0.9230769;0.0;0.0;1.0;0.25;0.75;-0.99;0.1;0.9615384638309479;0.7846153855323792;1
teammates.storage.search.SearchDocument;1.0;1;2;3.0;0.0;0.0;0.0;1.0;0;0;0;0;1.0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.5;0.5;-0.99;0.66;0.5;0.2;3
teammates.storage.search.SearchManagerStarter;2.0;1;0;1.0;6.0;1.0;0.6666666865348816;2.0;2;0;10;2;1.0;0;0.0;-1000;1.0;1.0;0.0;0.0;0.0;2.0;2.0;1.75;-0.25;-0.99;0.78;0.0;-0.2;0
teammates.storage.search.StudentSearchManager;5.0;2;0;10.0;24.0;10.0;1.600000023841858;5.0;14;2;63;7;1.0;0;1.0;1.0;8.0;0.2;2.0;0.8076923;0.0;1.0;5.0;1.05;1.25;-1.9140000000000001;0.46399999999999997;0.9038461446762085;0.9615384578704834;2
teammates.storage.search.InstructorSearchDocument;1.0;2;0;4.0;11.0;0.0;1.0;1.0;16;1;18;2;1.0;0;1.0;1.0;3.0;-1000;1.0;0.9230769;0.0;0.0;1.0;0.25;0.75;-0.99;0.1;0.9615384638309479;0.7846153855323792;1
teammates.ui.webapi.GetRegkeyValidityAction;3.0;2;0;7.0;12.0;3.0;1.5;3.0;8;0;39;3;1.0;0;1.0;-1000;7.0;-1000;0.0;0.9166667;0.0;2.0;3.0;1.25;-0.25;-2.31;0.54;0.9583333432674408;0.18333333730697632;0
teammates.ui.webapi.GetAccountAction;1.0;2;0;4.0;4.0;0.0;1.0;1.0;2;0;12;1;1.0;0;1.0;-1000;4.0;-1000;0.0;0.9722222;0.0;1.0;1.0;0.75;-0.25;-1.6500000000000001;0.32;0.9861111044883728;0.19444444179534914;0
teammates.ui.webapi.CreateFeedbackSessionLogAction;3.0;2;0;7.0;14.0;3.0;1.0;3.0;11;1;35;4;1.0;0;1.0;1.0;7.0;-1000;1.0;0.9166667;0.0;1.0;3.0;0.75;0.75;-1.6500000000000001;0.32;0.9583333432674408;0.7833333373069764;0
teammates.ui.webapi.PutDataBundleAction;3.0;2;0;8.0;11.0;3.0;1.0;3.0;5;0;22;3;1.0;0;1.0;-1000;8.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9583333432674408;0.18333333730697632;0
teammates.ui.webapi.SearchStudentsAction;3.0;2;0;9.0;20.0;3.0;1.75;3.0;17;0;49;3;1.0;0;1.0;-1000;9.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9583333432674408;0.18333333730697632;0
teammates.ui.webapi.EnrollStudentsAction;3.0;2;0;16.0;46.0;3.0;1.25;3.0;57;0;78;3;1.0;0;1.0;-1000;16.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9583333432674408;0.18333333730697632;0
teammates.ui.webapi.CreateCourseAction;3.0;2;0;18.0;28.0;3.0;1.5;3.0;25;0;53;3;1.0;0;1.0;-1000;18.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9583333432674408;0.18333333730697632;0
teammates.ui.webapi.RegenerateStudentKeyAction;2.0;2;0;8.0;13.0;1.0;0.6666666865348816;2.0;10;0;32;6;1.0;0;1.0;0.75;8.0;0.5;0.0;0.9459459;0.0;1.0;2.0;1.125;0.1875;-0.9075;0.5;0.972972959280014;0.5391891837120056;0
teammates.ui.webapi.BasicFeedbackSubmissionAction;9.0;2;7;22.0;44.0;36.0;4.0;9.0;74;0;146;9;1.0;0;1.0;-1000;11.0;0.2037037037037037;0.0;0.78571427;0.0;0.0;9.0;0.5509259259259259;-0.25;-3.892777777777778;0.24444444444444444;0.8928571343421936;0.15714285373687745;11
teammates.ui.webapi.RemindFeedbackSessionResultAction;3.0;2;0;12.0;15.0;3.0;1.0;3.0;13;0;35;3;1.0;0;1.0;-1000;12.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9583333432674408;0.18333333730697632;0
teammates.ui.webapi.RestoreFeedbackSessionAction;3.0;2;0;8.0;15.0;3.0;1.0;3.0;15;0;40;3;1.0;0;1.0;-1000;8.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9583333432674408;0.18333333730697632;0
teammates.ui.webapi.AdminExceptionTestAction;3.0;2;0;5.0;10.0;3.0;2.75;3.0;11;0;39;3;1.0;0;1.0;-1000;5.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9583333432674408;0.18333333730697632;0
teammates.ui.webapi.UpdateCourseAction;3.0;2;0;12.0;20.0;3.0;1.25;3.0;15;0;43;3;1.0;0;1.0;-1000;12.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9583333432674408;0.18333333730697632;0
teammates.ui.webapi.GetFeedbackResponseCommentAction;3.0;4;0;11.0;24.0;3.0;3.0;3.0;25;0;72;3;1.0;0;1.0;-1000;11.0;-1000;0.0;0.93877554;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9693877696990967;0.18775510787963867;0
teammates.ui.webapi.GetStudentAction;3.0;2;0;8.0;25.0;3.0;3.0;3.0;26;0;74;5;1.0;0;1.0;0.5;8.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;0.125;-1.815;0.32;0.9583333432674408;0.48333333730697636;0
teammates.ui.webapi.AuthType;1.0;0;0;73.0;2.0;0.0;1.0;1.0;0;0;4;2;1.0;0;0.0;1.0;0.0;-1000;0.0;0.0;0.0;1.0;1.0;0.75;0.25;-0.66;0.32;0.0;0.2;73
teammates.ui.webapi.DeleteFeedbackResponseCommentAction;3.0;4;0;15.0;40.0;3.0;2.25;3.0;42;0;68;3;1.0;0;1.0;-1000;15.0;-1000;0.0;0.93877554;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9693877696990967;0.18775510787963867;0
teammates.ui.webapi.PutDataBundleDocumentsAction;3.0;2;0;7.0;10.0;3.0;1.0;3.0;4;0;20;3;1.0;0;1.0;-1000;7.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9583333432674408;0.18333333730697632;0
teammates.ui.webapi.PublishFeedbackSessionAction;3.0;2;0;10.0;19.0;3.0;1.25;3.0;17;1;43;4;1.0;0;1.0;1.0;10.0;-1000;1.0;0.9166667;0.0;1.0;3.0;0.75;0.75;-1.6500000000000001;0.32;0.9583333432674408;0.7833333373069764;0
teammates.ui.webapi.GetTimeZonesAction;1.0;2;0;2.0;12.0;0.0;1.0;1.0;10;0;14;1;1.0;0;1.0;-1000;2.0;-1000;0.0;0.9722222;0.0;1.0;1.0;0.75;-0.25;-1.6500000000000001;0.32;0.9861111044883728;0.19444444179534914;0
